Dest,AvgDelay,MaxDelay,CancelRate
BQK,3.1902439024390246,1067.0,0.005517241379310344
BQN,14.638121546961326,784.0,0.016289592760180997
BRD,9.541623843782117,941.0,0.03458498023715415
BRO,1.6447440836543754,1345.0,0.017737167428110722
BRW,4.3971166448230665,292.0,0.028930817610062894
BTM,-6.883458646616542,789.0,0.0064995357474466105
BTR,3.200890963088672,1137.0,0.013252634874256496
BTV,5.1428352137539335,875.0,0.02727205172029427
BUF,5.282120943862755,1044.0,0.043213296398891966
BUR,2.5199404834500085,901.0,0.02578477988314054
BWI,0.5995987222853997,1260.0,0.02357594377935516
BZN,3.04547102763072,1038.0,0.017768653546651563
CAE,3.1476671137149714,982.0,0.014725289990970341
CAK,9.373973468098548,1100.0,0.026638841149030198
CDB,24.390243902439025,95.0,0.038461538461538464
CDC,-1.3247950819672132,682.0,0.006066734074823054
CDV,3.05078125,419.0,0.04804270462633452
CGI,-1.2954209748892171,631.0,0.07346938775510205
CHA,2.8140062137878914,1211.0,0.014871116986120292
CHO,3.0617283950617282,1141.0,0.02688439709250224
CHS,2.9807474847052684,1336.0,0.023138064662122027
CID,3.4398927454193355,1108.0,0.02822289591453732
CIU,6.365004703668862,891.0,0.026954177897574125
CKB,13.236252545824847,1202.0,0.03976721629485936
CLE,3.0740556040393967,1298.0,0.02142824507698634
CLL,-0.659117532213979,629.0,0.020175104682146935
CLT,1.4579026889411955,3795.0,0.0176546540379817
CMH,2.5136142754719986,1078.0,0.018974799094952016
CMI,5.520840280093364,954.0,0.03417438518045353
CMX,8.148832684824903,856.0,0.09643788010425716
CNY,-0.3201754385964912,377.0,0.03765690376569038
COD,8.506493506493506,962.0,0.0283436669619132
COS,5.8991810737033665,1504.0,0.018631697620601673
COU,7.833067347590169,993.0,0.04346504559270517
CPR,6.779644588045234,1541.0,0.017738359201773836
CRP,2.588308768423682,1099.0,0.016911764705882352
CRW,6.42603550295858,1111.0,0.025007964319847083
CSG,4.672037914691943,926.0,0.015755329008341055
CVG,3.002551101757071,1319.0,0.01500525811869222
CWA,6.382176052487698,1290.0,0.029838922630050172
CYS,3.9429763560500697,1172.0,0.04894179894179894
DAB,2.70572972972973,672.0,0.014680851063829787
DAL,1.2261604928704277,626.0,0.02385402507174143
DAY,5.162734193618055,1088.0,0.01862729533788432
DBQ,2.6756410256410255,181.0,0.057692307692307696
DCA,3.6862419080778492,2334.0,0.0261724996457705
DDC,-5.512820512820513,877.0,0.04807692307692308
DEC,-0.09461235216819974,940.0,0.06951219512195123
DEN,2.629244149634832,1898.0,0.02244188453768195
DFW,5.77150942772237,3502.0,0.015629387425479035
DHN,1.7636255924170616,953.0,0.0035335689045936395
DIK,12.108196721311476,1268.0,0.06458123107971746
DLG,17.157894736842106,300.0,0.10674157303370786
DLH,2.228306655433867,840.0,0.03354978354978355
DRO,6.568181818181818,1025.0,0.02149454240134341
DRT,-3.310344827586207,895.0,0.010825439783491205
DSM,3.885921404044258,1307.0,0.021775128332505382
DTW,1.622560766860664,1706.0,0.013336677001641437
DUT,27.397769516728623,305.0,0.16279069767441862
DVL,2.7543103448275863,1220.0,0.09569377990430622
EAR,-0.7427122940430925,698.0,0.049160671462829736
EAT,4.204858299595141,226.0,0.07937685459940653
EAU,3.7201051248357424,845.0,0.05773955773955774
ECP,3.777409738323948,990.0,0.010902747492368076
